Disease,Treatment,Medicinal Composition,Ingredients to Avoid,Recommended Diet,Precautionary Measures,
Common Cold,"Rest, hydration, decongestants, antihistamines","Paracetamol, pseudoephedrine, chlorpheniramine","Caffeine, alcohol, strong fragrances","Warm fluids, vitamin C-rich foods, soup","Wash hands regularly, avoid close contact",
Influenza (Flu),"Antiviral drugs, rest, fluids","Oseltamivir, paracetamol, ibuprofen","Processed foods, dairy (if causing mucus)","Broth, garlic, fruits, leafy greens","Vaccination, hygiene, avoid crowds",
Diabetes,"Insulin therapy, oral hypoglycemics","Metformin, insulin, sulfonylureas","Sugars, trans fats, refined carbs","Low-carb diet, whole grains, lean protein","Monitor glucose, exercise, regular check-ups",
Hypertension,"Lifestyle changes, antihypertensive drugs","Amlodipine, losartan, enalapril","Sodium, caffeine, alcohol","DASH diet, potassium-rich foods, low-salt meals","Regular BP monitoring, reduce stress",
Asthma,"Inhaled corticosteroids, bronchodilators","Salbutamol, budesonide, montelukast","Dust, smoke, strong odors","Anti-inflammatory foods, omega-3s, vitamin D","Avoid triggers, carry inhaler, use air purifier",
Pneumonia,"Antibiotic therapy (for bacterial), antiviral/antifungal (if applicable), oxygen therapy, fever reducers, hospitalization in severe cases","Azithromycin, amoxicillin, ceftriaxone, levofloxacin, oseltamivir (if viral)","Alcohol (interferes with antibiotics), tobacco smoke, cold air inhalants, high-fat dairy (may increase mucus)","Warm fluids (soup, tea), high-protein diet, vitamin C-rich foods (citrus, bell peppers), antioxidant-rich foods (berries, leafy greens), adequate hydration","Get vaccinated (pneumococcal, flu), avoid smoking, maintain hygiene, rest adequately, wear a mask in polluted or crowded areas, seek early medical attention for respiratory infections",
COVID-19,"oxygen therapy, corticosteroids, and hospitalization if needed","Paracetamol, dexamethasone, remdesivir, favipiravir, molnupiravir, nirmatrelvir/ritonavir (Paxlovid)","Alcohol (weakens immunity), high-sugar and ultra-processed foods, cold beverages, smoking products","Immune-boosting foods like citrus fruits, turmeric, ginger, garlic, lean protein,","Wear masks in crowded places, maintain physical distancing, hand hygiene, vaccination (COVID-19 vaccines and boosters),",
Tuberculosis,"Long-term antibiotic regimen (6–9 months), usually a combination of four drugs in the initial phase followed by two drugs in the continuation phase","Isoniazid, rifampin (rifampicin), ethambutol, pyrazinamide (initial 2 months), followed by isoniazid and rifampin (next 4–7 months)","Alcohol (interferes with TB drugs, especially isoniazid), tobacco, greasy/spicy foods (may irritate stomach), raw/undercooked meat (if immunity is low)","High-protein and calorie-rich diet, eggs, milk, lean meat, legumes, nuts, fruits (especially vitamin C-rich), green leafy vegetables, whole grains","Take full course of medication without skipping, maintain good ventilation, wear a mask to prevent spread, regular follow-up with healthcare provider, isolate during active TB phase, good personal hygiene",
Chickenpox,"Symptomatic treatment: rest, fever reducers, antihistamines for itching, calamine lotion, antiviral medications in high-risk cases (e.g., adults, immunocompromised)","Acetaminophen (paracetamol), calamine lotion, diphenhydramine (for itching), acyclovir (antiviral)","Aspirin (can cause Reye’s syndrome), spicy/salty foods (can irritate mouth sores), processed sugary foods","Soft and bland foods, cold liquids, vitamin C-rich fruits (like oranges), immune-boosting foods like yogurt, honey, soups, coconut water","Isolate infected individual until all blisters scab, avoid scratching (trim nails), wear loose clothing, maintain hygiene, vaccination (varicella vaccine) for prevention",
Measles,"No specific antiviral treatment; supportive care with rest, fever control, hydration, and nutritional support; vitamin A supplements recommended, especially in children","Paracetamol (fever), ibuprofen (inflammation), vitamin A (supplements), oral rehydration salts (ORS)","Sugary snacks (weaken immunity), processed foods, spicy or fried foods (can worsen sore throat or diarrhea), caffeine","Fluids (water, ORS, coconut water), vitamin A-rich foods (carrots, spinach, sweet potatoes), fresh fruits, soft foods like porridge, soups","Isolate infected person, maintain good hygiene, ensure vaccination (MMR: Measles, Mumps, Rubella), avoid crowded places during outbreaks, disinfect commonly touched surfaces",
Urinary Tract Infection,"Antibiotic therapy, increased fluid intake, urinary analgesics for pain relief; cranberry products may be used for prevention but not treatment","Nitrofurantoin, trimethoprim-sulfamethoxazole (TMP-SMX), ciprofloxacin, phenazopyridine (for pain)","Caffeine, alcohol, spicy foods, acidic foods (tomatoes, citrus), artificial sweeteners — all can irritate the bladder","Plenty of water, cranberry juice (unsweetened), probiotics (yogurt), vitamin C-rich foods (oranges, kiwi), herbal teas (like chamomile)","Maintain personal hygiene, urinate after intercourse, wipe front to back, avoid holding urine for long periods, wear breathable cotton underwear, avoid scented hygiene products in the genital area",
Gastroenteritis,"Rehydration with oral rehydration salts (ORS), rest, antiemetics (for vomiting), antidiarrheal (in some cases), antibiotics only if bacterial cause confirmed","ORS, zinc supplements (especially in children), ondansetron (for vomiting), loperamide (for diarrhea, not for children), ciprofloxacin or metronidazole (if bacterial or parasitic)","Dairy products (temporary lactose intolerance), caffeine, alcohol, spicy and oily foods, high-fiber foods, sugary drinks (can worsen diarrhea)","BRAT diet (Bananas, Rice, Applesauce, Toast), clear soups, boiled potatoes, coconut water, probiotic-rich foods like curd or yogurt (after acute phase), electrolyte drinks","Wash hands regularly, avoid street food and contaminated water, properly cook meat and seafood, maintain kitchen hygiene, isolate if infectious, sanitize surfaces, keep hydrated",
